document_number,title,agency,publication_date,comment_url,comments_close_on,regs_document_id,comment_count,source
2015-32996,New Postal Product,Postal Regulatory Commission,2016-01-04,,2016-01-05,,0,federalregister
2015-33077,New Postal Product,Postal Regulatory Commission,2016-01-04,,2016-01-06,,0,federalregister
2015-32977,New Postal Product,Postal Regulatory Commission,2016-01-04,,2016-01-05,,0,federalregister
2015-32982,New Postal Product,Postal Regulatory Commission,2016-01-04,,2016-01-05,,0,federalregister
2015-32980,New Postal Product,Postal Regulatory Commission,2016-01-04,,2016-01-05,,0,federalregister
2015-32976,New Postal Product,Postal Regulatory Commission,2016-01-04,,2016-01-05,,0,federalregister
2015-33059,Agency Information Collection Activities: Requests for Comments; Clearance of Renewed Approval of Information Collection: Suspected Unapproved Parts Notification,"Transportation Department, Federal Aviation Administration",2016-01-04,,2016-02-03,FAA-2013-0259-1064,0,federalregister
2015-33060,Agency Information Collection Activities: Requests for Comments; Clearance of Renewed Approval of Information Collection: Specific Release Form,"Transportation Department, Federal Aviation Administration",2016-01-04,,2016-02-03,FAA-2013-0259-1062,0,federalregister
2015-33058,Agency Information Collection Activities: Requests for Comments; Clearance of Renewed Approval of Information Collection: Airport Grant Program,"Transportation Department, Federal Aviation Administration",2016-01-04,,2016-03-04,FAA-2013-0259-1060,0,federalregister
2015-33080,New Postal Product,Postal Regulatory Commission,2016-01-04,,2016-01-06,,0,federalregister
2015-32979,New Postal Product,Postal Regulatory Commission,2016-01-04,,2016-01-05,,0,federalregister
2015-32891,Airworthiness Directives; Dassault Aviation,"Transportation Department, Federal Aviation Administration",2016-01-04,,2016-02-18,FAA-2015-7532-0001,0,federalregister
2015-32905,Airworthiness Directives; Fokker Services B.V. Airplanes,"Transportation Department, Federal Aviation Administration",2016-01-04,,2016-02-18,FAA-2015-8138-0001,0,federalregister
2015-33036,Extension of the Workers' Compensation Offset From Age 65 to Full Retirement Age-Achieving a Better Life Experience (ABLE) Act,Social Security Administration,2016-01-04,,2016-02-03,SSA-2015-0018-0001,1,federalregister
2015-32485,Electronic and Information Technology,State Department,2016-01-04,,2016-03-04,DOS-2015-0072-0001,1,federalregister
2015-32585,Confidential Business Information,"Transportation Department, National Highway Traffic Safety Administration",2016-01-04,,2016-03-04,NHTSA-2015-0130-0001,5,federalregister
2015-32906,Airworthiness Directives; Airbus Airplanes,"Transportation Department, Federal Aviation Administration",2016-01-04,,2016-02-18,FAA-2015-8136-0001,0,federalregister
