document_number,comment_id,category,agency
2025-11463,FNS-2025-0024-0145,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0110,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0380,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0068,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0074,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0319,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0358,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0021,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0154,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0298,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0038,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0010,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0112,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0305,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0104,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0006,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0201,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0119,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0458,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0359,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0375,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0453,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0125,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0024,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0370,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2025-11463,FNS-2025-0024-0017,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0307,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0251,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0079,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0259,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0237,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0282,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0288,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0139,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0217,Undecided/Anonymous,Agriculture Department
2025-11463,FNS-2025-0024-0012,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0022,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0312,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0295,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0245,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0349,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0421,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0414,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0143,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0285,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0129,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0109,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0200,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0212,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0238,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0427,Organization/Corporation,Agriculture Department
2025-11463,FNS-2025-0024-0387,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0314,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0311,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0362,Ordinary Citizen,Agriculture Department
2025-11463,FNS-2025-0024-0341,Ordinary Citizen,Agriculture Department
