document_number,comment_id,category,agency
2016-17136,AID-2016-0002-0003,Academic/Industry/Expert (incl. small/local business),Agency for International Development
2016-19709,AID-2016-0004-0002,Academic/Industry/Expert (incl. small/local business),Agency for International Development
2016-19709,AID-2016-0004-0003,Academic/Industry/Expert (incl. small/local business),Agency for International Development
2016-19709,AID-2016-0004-0004,Academic/Industry/Expert (incl. small/local business),Agency for International Development
2016-19709,AID-2016-0004-0006,Academic/Industry/Expert (incl. small/local business),Agency for International Development
2016-19709,AID-2016-0004-0007,Academic/Industry/Expert (incl. small/local business),Agency for International Development
2016-19716,AID-2016-0003-0002,Academic/Industry/Expert (incl. small/local business),Agency for International Development
2016-28338,AID-2016-0006-0002,Academic/Industry/Expert (incl. small/local business),Agency for International Development
2016-00693,USDA-2016-0001-0039,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-19709,AID-2016-0004-0005,Academic/Industry/Expert (incl. small/local business),Agency for International Development
2016-00693,USDA-2016-0001-0020,Political Consultant/Lobbyist,Agriculture Department
2016-00693,USDA-2016-0001-0014,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-19716,AID-2016-0003-0003,Organization/Corporation,Agency for International Development
2016-19716,AID-2016-0003-0004,Political Consultant/Lobbyist,Agency for International Development
2016-00693,USDA-2016-0001-0033,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0013,Organization/Corporation,Agriculture Department
2016-00693,USDA-2016-0001-0053,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0040,Organization/Corporation,Agriculture Department
2016-00693,USDA-2016-0001-0054,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0028,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0041,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0003,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0051,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0032,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0043,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0006,Organization/Corporation,Agriculture Department
2016-00693,USDA-2016-0001-0026,Ordinary Citizen,Agriculture Department
2016-00693,USDA-2016-0001-0068,Organization/Corporation,Agriculture Department
2016-00693,USDA-2016-0001-0024,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0052,Organization/Corporation,Agriculture Department
2016-00693,USDA-2016-0001-0027,Organization/Corporation,Agriculture Department
2016-00693,USDA-2016-0001-0022,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0035,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0038,Ordinary Citizen,Agriculture Department
2016-00693,USDA-2016-0001-0004,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0007,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0069,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0018,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0034,Organization/Corporation,Agriculture Department
2016-00693,USDA-2016-0001-0031,Organization/Corporation,Agriculture Department
2016-00693,USDA-2016-0001-0002,Organization/Corporation,Agriculture Department
2016-00693,USDA-2016-0001-0011,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0071,Organization/Corporation,Agriculture Department
2016-00693,USDA-2016-0001-0030,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0050,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0016,Ordinary Citizen,Agriculture Department
2016-00693,USDA-2016-0001-0042,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0017,Organization/Corporation,Agriculture Department
2016-00693,USDA-2016-0001-0010,Ordinary Citizen,Agriculture Department
2016-00693,USDA-2016-0001-0072,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0025,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0070,Political Consultant/Lobbyist,Agriculture Department
2016-00693,USDA-2016-0001-0019,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0012,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-00693,USDA-2016-0001-0073,Organization/Corporation,Agriculture Department
2016-00693,USDA-2016-0001-0037,Organization/Corporation,Agriculture Department
2016-06852,USDA-2016-0001-0058,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-06852,USDA-2016-0001-0061,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-06852,USDA-2016-0001-0074,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-06852,USDA-2016-0001-0062,Organization/Corporation,Agriculture Department
2016-06852,USDA-2016-0001-0055,Organization/Corporation,Agriculture Department
2016-06852,USDA-2016-0001-0057,Organization/Corporation,Agriculture Department
2016-06852,USDA-2016-0001-0075,Organization/Corporation,Agriculture Department
2016-06852,USDA-2016-0001-0060,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-06852,USDA-2016-0001-0056,Ordinary Citizen,Agriculture Department
2016-06852,USDA-2016-0001-0048,Ordinary Citizen,Agriculture Department
2016-06852,USDA-2016-0001-0066,Organization/Corporation,Agriculture Department
2016-06852,USDA-2016-0001-0063,Organization/Corporation,Agriculture Department
2016-06852,USDA-2016-0001-0064,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-09139,AMS-AMS-15-0044-0002,Organization/Corporation,"Agriculture Department, Agricultural Marketing Service"
2016-06852,USDA-2016-0001-0059,Organization/Corporation,Agriculture Department
2016-06852,USDA-2016-0001-0046,Academic/Industry/Expert (incl. small/local business),Agriculture Department
2016-14332,AMS-FV-15-0049-0020,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-06852,USDA-2016-0001-0049,Organization/Corporation,Agriculture Department
2016-14332,AMS-FV-15-0049-0021,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-28255,AMS-FV-08-0076-0005,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0565,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-06930,AMS-NOP-16-0010-0002,Organization/Corporation,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1557,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-11318,AMS-LPS-16-0032-0002,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1490,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0248,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1016,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2073,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0669,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0978,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1335,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2525,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2702,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2253,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1858,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1876,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0521,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1966,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2515,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0530,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0118,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1023,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2770,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1559,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1745,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1923,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0837,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1475,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2911,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1453,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1054,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2619,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0147,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1948,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1051,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2620,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0592,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0220,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1916,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-1486,Political Consultant/Lobbyist,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0152,Academic/Industry/Expert (incl. small/local business),"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-0133,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
2016-05835,AMS-NOP-15-0085-2443,Ordinary Citizen,"Agriculture Department, Agricultural Marketing Service"
