document_number,title,agency,publication_date,comment_url,comments_close_on,regs_document_id,comment_count,source
2017-27930,Biweekly Notice; Applications and Amendments to Facility Operating Licenses and Combined Licenses Involving No Significant Hazards Considerations,Nuclear Regulatory Commission,2018-01-02,,2018-02-01,NRC-2017-0238-0001,1,federalregister
2017-28219,New Postal Products,Postal Regulatory Commission,2018-01-02,,2018-01-05,,0,federalregister
2017-28303,"Petition for Exemption; Summary of Petition Received; Sierra Pacific Airlines, Inc.","Transportation Department, Federal Aviation Administration",2018-01-02,,2018-01-12,FAA-2017-0964-0004,4,federalregister
2017-28126,Hours of Service of Drivers: Application for Exemption; Cudd Energy Services,"Transportation Department, Federal Motor Carrier Safety Administration",2018-01-02,https://www.regulations.gov/commenton/FMCSA-2017-0340-0002,2018-02-01,FMCSA-2017-0340-0002,6,federalregister
2017-28024,Proposed Information Collections; Comment Request (No. 67),"Treasury Department, Alcohol and Tobacco Tax and Trade Bureau",2018-01-02,,2018-03-05,,0,federalregister
2017-28169,"Cranberries Grown in States of Massachusetts, et al.; Free and Restricted Percentages for the 2017-18 Crop Year for Cranberries","Agriculture Department, Agricultural Marketing Service",2018-01-02,,2018-02-01,AMS-SC-17-0061-0001,186,federalregister
2017-28151,Airworthiness Directives; The Boeing Company Airplanes,"Transportation Department, Federal Aviation Administration",2018-01-02,,2018-02-16,FAA-2017-1176-0001,2,federalregister
2017-28297,Privacy Act of 1974; System of Records,Commodity Futures Trading Commission,2018-01-02,,2018-02-01,CFTC-2018-0001-0001,0,federalregister
2017-28238,Certain Large Residential Washers From Korea and Mexico; Institution of Five-Year Reviews,International Trade Commission,2018-01-02,,2018-03-16,ITC-2018-0002-0001,0,federalregister
2017-28300,Information Collection Being Submitted for Review and Approval to the Office of Management and Budget,Federal Communications Commission,2018-01-02,,2018-02-01,FCC-2018-0003-0001,0,federalregister
2017-28259,Pediatric Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments,"Health and Human Services Department, Food and Drug Administration",2018-01-02,,,FDA-2017-N-6928-0001,0,federalregister
2017-28252,Labeling for Combined Hormonal Contraceptives; Draft Guidance for Industry; Availability,"Health and Human Services Department, Food and Drug Administration",2018-01-02,,2018-03-05,FDA-2017-D-1846-0001,4,federalregister
2017-28263,"Agency Information Collection Activities; Submission for OMB Review; Comment Request; Certification and Qualification To Examine, Test, Operate Hoists, and To Perform Other Duties",Labor Department,2018-01-02,,2018-02-01,DOL_FRDOC_0001-1155,0,federalregister
2017-28265,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Alternative Method of Compliance for Certain Simplified Employee Pensions,Labor Department,2018-01-02,,2018-02-01,DOL_FRDOC_0001-1158,0,federalregister
2017-28266,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Employee Retirement Income Security Act of 1974 Section 408(a) Prohibited Transaction Provisions Exemption Application Procedure,Labor Department,2018-01-02,,2018-02-01,DOL_FRDOC_0001-1156,1,federalregister
