document_number,title,agency,publication_date,comment_url,comments_close_on,regs_document_id,comment_count,source
2019-28346,"Availability of the Final Environmental Assessment and Finding of No Significant Impact and Record of Decision for the Proposed Eastgate Air Cargo Facility, San Bernardino International Airport, San Bernardino County, California","Transportation Department, Federal Aviation Administration",2020-01-02,,,FAA-2013-0259-2757,0,federalregister
2019-28322,Agency Information Collection Extension,"Energy Department, Energy Information Administration",2020-01-02,,2020-02-03,EIA_FRDOC_0001-0221,0,federalregister
2019-28329,Air Plan Approval; Oklahoma; Infrastructure for the 2015 Ozone National Ambient Air Quality Standards,Environmental Protection Agency,2020-01-02,,2020-02-03,EPA-R06-OAR-2018-0786-0001,0,federalregister
2019-28287,Advanced Power Reactor 1400 (APR1400) Design Certification,Nuclear Regulatory Commission,2020-01-02,,,NRC-2015-0224-0011,0,federalregister
2019-28081,Ferrovanadium From China and South Africa; Institution of Five-Year Reviews,International Trade Commission,2020-01-02,,2020-03-16,ITC-2020-0004-0001,0,federalregister
2019-28312,Petitions for Modification of Application of Existing Mandatory Safety Standards,"Labor Department, Mine Safety and Health Administration",2020-01-02,,2020-02-03,MSHA-2020-0002-0001,0,federalregister
2019-28313,"Proposed Extension of Information Collection; Slope and Shaft Sinking Plans, 30 CFR 77.1900 (Pertains to Surface Work Areas of Underground Coal Mines)","Labor Department, Mine Safety and Health Administration",2020-01-02,,2020-03-02,MSHA-2019-0051-0001,1,federalregister
2019-28325,Updated Working Approach To Making New Chemical Determinations Under the Toxic Substances Control Act (TSCA); Notice of Availability and Request for Comment,Environmental Protection Agency,2020-01-02,,2020-02-18,EPA-HQ-OPPT-2019-0684-0001,14,federalregister
2019-28292,National Register of Historic Places; Notification of Pending Nominations and Related Actions,"Interior Department, National Park Service",2020-01-02,,2020-01-17,,0,federalregister
2019-28038,Certain Tow-Behind Lawn Groomers and Parts Thereof From China Institution of a Five-Year Review,International Trade Commission,2020-01-02,,2020-03-16,ITC-2020-0002-0001,0,federalregister
2019-27631,Accessible Lavatories on Single-Aisle Aircraft: Part 1,Transportation Department,2020-01-02,,2020-03-02,DOT-OST-2019-0180-0017,338,federalregister
2019-28339,Pesticide Registration Review; Proposed Interim Decisions for Several Triazines; Notice of Availability,Environmental Protection Agency,2020-01-02,,2020-03-02,EPA-HQ-OPP-2013-0251-0139,46791,federalregister
2019-28340,Registration Review; Draft Human Health and/or Ecological Risk Assessments for Several Pesticides; Notice of Availability,Environmental Protection Agency,2020-01-02,,2020-03-02,EPA-HQ-OPP-2010-0243-0007,0,federalregister
2019-27928,Airworthiness Directives; The Boeing Company Airplanes,"Transportation Department, Federal Aviation Administration",2020-01-02,,2020-02-18,FAA-2019-0989-0001,5,federalregister
2019-28305,Restoration and Enhancement Grants Program,"Transportation Department, Federal Railroad Administration",2020-01-02,,2019-11-06,FRA-2009-0031-0205,0,federalregister
2019-27998,Procedures for Federal Acknowledgment of Alaska Native Entities,"Interior Department, Indian Affairs Bureau",2020-01-02,,2020-03-02,BIA-2020-0001-0001,10,federalregister
2019-28332,Air Plan Approval; Missouri; Revisions to the General Conformity Rules,Environmental Protection Agency,2020-01-02,,2020-02-03,EPA-R07-OAR-2019-0658-0001,7,federalregister
2019-28348,Petition for Reconsideration of Action in Proceeding,Federal Communications Commission,2020-01-02,,,,0,federalregister
2019-28323,Methodology for Modeling Transient Fires in Nuclear Power Plant Fire Probabilistic Risk Assessments,Nuclear Regulatory Commission,2020-01-02,,2020-02-18,NRC-2019-0229-0001,1,federalregister
2019-28311,"Southern Nuclear Operating Company, Inc.; Vogtle Electric Generating Plant, Units 3 and 4",Nuclear Regulatory Commission,2020-01-02,,2020-02-03,NRC-2008-0252-0171,0,federalregister
2019-28039,Barium Carbonate From China; Institution of a Five-Year Review,International Trade Commission,2020-01-02,,2020-03-16,ITC-2020-0001-0001,0,federalregister
2019-28315,Agency Information Collection Activities; Comment Request; Job Corps Health Questionnaire,"Labor Department, Employment and Training Administration",2020-01-02,,2020-03-02,,0,federalregister
2019-28309,Agency Information Collection Activities; Comment Request; Job Corps Placement and Assistance Record,"Labor Department, Employment and Training Administration",2020-01-02,,2020-03-02,,0,federalregister
2019-28310,Agency Information Collection Activities; Comment Request; Federal-State Unemployment Insurance Program Data Exchange Standardization,"Labor Department, Employment and Training Administration",2020-01-02,,2020-03-02,,0,federalregister
2019-28314,Proposed Extension of Information Collection; Application for Waiver of Surface Facilities Requirements,"Labor Department, Mine Safety and Health Administration",2020-01-02,,2020-03-02,MSHA-2019-0045-0001,0,federalregister
2019-28298,Commission Information Collection Activities (FERC-549); Comment Request; Extension,"Energy Department, Federal Energy Regulatory Commission",2020-01-02,,2020-02-03,FERC-2020-0005-0001,0,federalregister
2019-28341,"Access to Confidential Business Information by Eastern Research Group and Its Identified Subcontractor, PG Environmental",Environmental Protection Agency,2020-01-02,,,EPA-HQ-OPPT-2003-0004-0127,0,federalregister
2019-28338,Certain New Chemicals; Receipt and Status Information for September 2019,Environmental Protection Agency,2020-01-02,,2020-02-03,EPA-HQ-OPPT-2019-0075-0016,0,federalregister
2019-28082,"Polyethylene Terephthalate Film, Sheet, and Strip From China and the United Arab Emirates Institution of Five-Year Reviews",International Trade Commission,2020-01-02,,2020-03-16,ITC-2020-0005-0001,0,federalregister
2019-28080,Certain Crystalline Silicon Photovoltaic Products From China and Taiwan; Institution of Five-Year Reviews,International Trade Commission,2020-01-02,,2020-03-16,ITC-2020-0003-0001,0,federalregister
2019-28283,"Winthrop Sargent, John Cogliano, and Paul Fuerst-Acquisition of Control-Plymouth and Brockton Street Railway Company, Brush Hill Transportation Company, and McGinn Bus Company, Inc.",Surface Transportation Board,2020-01-03,,2020-02-18,STB-2020-0003-0001,0,federalregister
2019-28422,"Proposed Collection of Information: Application by Survivors for Payment of Bond or Check Issued Under the Armed Forces Leave Act of 1946, as Amended","Treasury Department, Bureau of the Fiscal Service",2020-01-03,,2020-03-03,,0,federalregister
2019-28421,Proposed Collection of Information: Request To Reissue U.S. Savings Bonds to a Personal Trust,"Treasury Department, Bureau of the Fiscal Service",2020-01-03,,2020-03-03,,0,federalregister
2019-28423,Proposed Collection of Information: Minority Bank Deposit Program (MBDP) Certification Form for Admission,"Treasury Department, Bureau of the Fiscal Service",2020-01-03,,2020-03-03,,0,federalregister
