document_number,title,agency,publication_date,comment_url,comments_close_on,regs_document_id,comment_count,source
2016-31450,Applications and Amendments to Facility Operating Licenses and Combined Licenses Involving Proposed No Significant Hazards Considerations and Containing Sensitive Unclassified Non-Safeguards Information and Safeguards Information and Order Imposing Procedures for Access to Sensitive Unclassified Non-Safeguards Information and Safeguards Information,Nuclear Regulatory Commission,2017-01-03,,2017-02-02,NRC-2016-0258-0001,0,federalregister
2016-31770,Type 2 Rate Adjustment,Postal Regulatory Commission,2017-01-03,,2017-01-05,,0,federalregister
2016-31236,Nondiscrimination on the Basis of Disability in Programs or Activities Receiving Federal Financial Assistance From the Department of the Treasury,Treasury Department,2017-01-03,,2017-03-06,TREAS-DO-2017-0001-0001,10,federalregister
2016-29755,Significant New Use Rule on Certain Chemical Substances; Reopening of Comment Period,Environmental Protection Agency,2017-01-03,,2017-03-06,EPA-HQ-OPPT-2015-0810-0244,1,federalregister
2016-31702,Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to Waterfront Construction,"Commerce Department, National Oceanic and Atmospheric Administration",2017-01-03,,2017-02-02,NOAA-NMFS-2016-0161-0001,3,federalregister
2016-31762,Proposed Information Collection; Comment Request; West Coast Region U.S.-Canada Albacore Treaty Reporting System.,"Commerce Department, National Oceanic and Atmospheric Administration",2017-01-03,,2017-03-06,,0,federalregister
2016-31781,Marine Mammals; File No. 20666,"Commerce Department, National Oceanic and Atmospheric Administration",2017-01-03,,2017-02-02,,0,federalregister
2016-30716,"Airworthiness Directives; Piper Aircraft, Inc. Airplanes","Transportation Department, Federal Aviation Administration",2017-01-03,,2017-02-17,FAA-2016-9550-0001,1,federalregister
2016-30806,Airworthiness Directives; Airbus Airplanes,"Transportation Department, Federal Aviation Administration",2017-01-03,,2017-02-17,FAA-2016-9519-0001,2,federalregister
2016-31131,Procedures for Disclosure or Production of Information Under the Freedom of Information Act; Amendments,Consumer Product Safety Commission,2017-01-03,,2017-03-20,CPSC-2016-0030-0001,2,federalregister
2016-31820,"Reports, Forms, and Record Keeping Requirements","Transportation Department, National Highway Traffic Safety Administration",2017-01-03,,2017-03-06,NHTSA-2016-0119-0001,0,federalregister
2016-31839,Proposed Collection; Comment Request,Treasury Department,2017-01-03,,2017-03-06,,0,federalregister
2016-31773,Proposed Data Collection Submitted for Public Comment and Recommendations,"Health and Human Services Department, Agency for Toxic Substances and Disease Registry",2017-01-03,,2017-03-06,ATSDR-2016-0008-0001,0,federalregister
2016-31791,30-Day Notice of Proposed Information Collection: Public Housing Capital Fund Program,Housing and Urban Development Department,2017-01-03,,2017-02-02,HUD-2008-0159-0009,0,federalregister
2016-31621,Notice To Extend the Public Comment Period for the Notice of Intent To Prepare the Columbia River System Operations Environmental Impact Statement,"Interior Department, Reclamation Bureau",2017-01-03,,2017-02-07,,0,federalregister
2016-31831,Pesticide Product Registrations; Receipt of Applications for New Active Ingredients,Environmental Protection Agency,2017-01-03,,2017-02-02,EPA-HQ-OPP-2016-0251-0005,0,federalregister
2016-31821,Agency Information Collection Activities; Proposed Renewal of an Existing Collection (EPA ICR No. 1246.13); Comment Request,Environmental Protection Agency,2017-01-03,,2017-03-06,EPA-HQ-OPPT-2016-0264-0001,0,federalregister
2016-31777,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Student Assistance General Provisions-Satisfactory Academic Progress Policy,Education Department,2017-01-03,,2017-02-02,ED-2016-ICCD-0116-0004,2,federalregister
2016-31465,Light-Walled Rectangular Pipe and Tube From Taiwan Institution of a Five-Year Review,International Trade Commission,2017-01-03,,2017-03-17,ITC-2017-0003-0001,0,federalregister
2016-31813,Biweekly Notice; Applications and Amendments to Facility Operating Licenses and Combined Licenses Involving No Significant Hazards Considerations,Nuclear Regulatory Commission,2017-01-03,,2017-02-02,NRC-2016-0273-0001,0,federalregister
2016-31769,New Postal Products,Postal Regulatory Commission,2017-01-03,,2017-01-06,,0,federalregister
2016-30951,Airworthiness Directives; CFE Company Turbofan Engines,"Transportation Department, Federal Aviation Administration",2017-01-03,,2017-02-17,FAA-2016-9380-0001,0,federalregister
2016-30807,Airworthiness Directives; The Boeing Company Airplanes,"Transportation Department, Federal Aviation Administration",2017-01-03,,2017-02-17,FAA-2016-9520-0001,7,federalregister
2016-31314,"Public Information, Freedom of Information Act and Privacy Act Regulations",Commerce Department,2017-01-03,,2017-02-02,DOC-2017-0003-0001,4,federalregister
2016-31772,Proposed Data Collection Submitted for Public Comment and Recommendations,"Health and Human Services Department, Agency for Toxic Substances and Disease Registry",2017-01-03,,2017-03-06,,0,federalregister
2016-31834,"Prospective Grant of Exclusive License: Development, Manufacture and Commercialization of Gene Therapy Products for Human Gene Therapy Use To Treat and/or Prevent Methylmalonic Acidemia (MMA)","Health and Human Services Department, National Institutes of Health",2017-01-03,,2017-01-18,,0,federalregister
2016-31829,Pesticide Product Registrations; Receipt of Applications for New Uses,Environmental Protection Agency,2017-01-03,,2017-02-02,EPA-HQ-OPP-2016-0640-0001,1,federalregister
2016-31822,"Proposed Consent Decree, Clean Air Act Citizen Suit",Environmental Protection Agency,2017-01-03,,2017-02-02,EPA-HQ-OGC-2016-0776-0001,0,federalregister
2016-31800,"Abbott Laboratories and St. Jude Medical, Inc.; Analysis to Aid Public Comment",Federal Trade Commission,2017-01-03,,2017-01-26,FTC-2017-0002-0001,0,federalregister
2016-31583,Request for Public Input on the Application of the Criminal Conflict of Interest Prohibition to Certain Beneficial Interests in Discretionary Trusts.,Government Ethics Office,2017-01-03,,2017-03-06,,0,federalregister
2016-31776,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Lender's Request for Payment of Interest and Special Allowance-LaRS,Education Department,2017-01-03,,2017-02-02,ED-2016-ICCD-0115-0004,0,federalregister
2016-31464,Furfuryl Alcohol From China; Institution of a Five-Year Review,International Trade Commission,2017-01-03,,2017-03-17,ITC-2017-0001-0001,0,federalregister
2016-31894,"Safety Zone; Apra Harbor, Guam","Homeland Security Department, Coast Guard",2017-01-04,,2017-02-21,USCG-2016-1019-0001,4,federalregister
2016-31906,"Publication Requirements for Agricultural Products; Rail Transportation of Grain, Rate Regulation Review",Surface Transportation Board,2017-01-04,,2017-03-20,STB-2017-0001-0001,0,federalregister
2016-31896,"Fisheries of the Caribbean, Gulf of Mexico, and South Atlantic; Snapper-Grouper Fishery of the South Atlantic Region; Amendment 36","Commerce Department, National Oceanic and Atmospheric Administration",2017-01-04,,2017-03-06,NOAA-NMFS-2016-0153-0001,86,federalregister
2016-31662,Commission Information Collection Activities; Comment Request for Generic Clearance for the Collection of Qualitative Feedback on Commission Service Delivery,"Energy Department, Federal Energy Regulatory Commission",2017-01-04,,2017-02-03,FERC-2017-0003-0001,0,federalregister
2016-31731,IoT Home Inspector Challenge,Federal Trade Commission,2017-01-04,,2017-05-22,FTC-2017-0005-0001,4,federalregister
2016-31848,C.H. Boehringer Sohn AG & Co. KG; Analysis To Aid Public Comment,Federal Trade Commission,2017-01-04,,2017-01-27,FTC-2017-0003-0001,0,federalregister
2016-31857,Battery Safety Concerns in Electronic Nicotine Delivery Systems; Public Workshop; Establishment of a Public Docket; Request for Comments,"Health and Human Services Department, Food and Drug Administration",2017-01-04,,2017-05-22,FDA-2016-N-4232-0001,37,federalregister
2016-31912,Public Hearing,Susquehanna River Basin Commission,2017-01-04,,2017-02-13,SRBC-2017-0001-0001,0,federalregister
2016-31889,Extension of Comment Period on Whether Nonconforming Model Year 2013 and 2014 Ferrari F12 Berlinetta Passenger Cars Are Eligible for Importation,"Transportation Department, National Highway Traffic Safety Administration",2017-01-04,,2017-02-06,NHTSA-2015-0104-0004,1,federalregister
2016-31884,"Application To Export Electric Energy; Southwest Power Pool, Inc.",Energy Department,2017-01-04,,2017-02-03,DOE-HQ-2017-0010-0001,0,federalregister
2016-31845,Agency Information Collection Activities; Proposed Collection; Comment Request; Consumer and Healthcare Professional Identification of and Responses to Deceptive Prescription Drug Promotion,"Health and Human Services Department, Food and Drug Administration",2017-01-04,,2017-03-06,FDA-2016-N-4487-0001,6,federalregister
2016-31846,New Postal Products,Postal Regulatory Commission,2017-01-04,,2017-01-09,,0,federalregister
2016-31366,Airworthiness Directives; Airbus Airplanes,"Transportation Department, Federal Aviation Administration",2017-01-04,,2017-02-21,FAA-2016-9524-0001,1,federalregister
2016-31249,National Standards for Traffic Control Devices; the Manual on Uniform Traffic Control Devices for Streets and Highways; Maintaining Pavement Marking Retroreflectivity,"Transportation Department, Federal Highway Administration",2017-01-04,,2017-05-04,FHWA-2009-0139-0124,47,federalregister
2016-31893,"Drawbridge Operation Regulation; Upper Mississippi River, IA","Homeland Security Department, Coast Guard",2017-01-04,,2017-03-06,USCG-2016-0561-0001,0,federalregister
2016-31635,"Air Plan Approval; Ohio; Redesignation of the Ohio Portion of the Cincinnati-Hamilton, OH-IN-KY Area to Attainment of the 1997 Annual Standard for Fine Particulate Matter",Environmental Protection Agency,2017-01-04,,2017-02-03,EPA-R05-OAR-2016-0479-0001,1,federalregister
2016-31900,Fisheries Off West Coast States; Coastal Pelagic Species Fisheries; Amendment to Regulations Implementing the Coastal Pelagic Species Fishery Management Plan; Change to Pacific Mackerel Management Cycle From Annual to Biennial,"Commerce Department, National Oceanic and Atmospheric Administration",2017-01-04,,2017-02-03,NOAA-NMFS-2016-0053-0001,3,federalregister
2016-31916,Public Notice for Waiver of Aeronautical Land-Use Assurance,"Transportation Department, Federal Aviation Administration",2017-01-04,,2017-02-03,FAA-2013-0259-1471,0,federalregister
2016-31887,"Reports, Forms, and Record Keeping Requirements","Transportation Department, National Highway Traffic Safety Administration",2017-01-04,,2017-03-06,NHTSA-2016-0132-0001,0,federalregister
2016-31888,"Reports, Forms, and Record Keeping Requirements","Transportation Department, National Highway Traffic Safety Administration",2017-01-04,,2017-03-06,NHTSA-2016-0134-0001,0,federalregister
2016-31315,"Privacy Act of 1974, New System of Records",Commerce Department,2017-01-04,,2017-02-03,,0,federalregister
2016-31864,Fisheries of the Northeastern United States; Northeast Skate Complex Fishery; Notice of Intent To Prepare an Environmental Impact Statement; Scoping Process; Request for Comments,"Commerce Department, National Oceanic and Atmospheric Administration",2017-01-04,,2017-03-06,,0,federalregister
2016-31876,Special Technical Committee on Law Enforcement Firearms,"Justice Department, Justice Programs Office",2017-01-04,,2017-04-04,,0,federalregister
2016-31858,Notice of Proposed Information Collection Request: Digital Inclusion Corps Pilot Project Evaluation,"National Foundation on the Arts and the Humanities, Institute of Museum and Library Services",2017-01-04,,2017-03-03,,0,federalregister
2016-31892,New Postal Products,Postal Regulatory Commission,2017-01-04,,2017-01-10,,0,federalregister
2016-31362,Airworthiness Directives; Gulfstream Aerospace Corporation Airplanes,"Transportation Department, Federal Aviation Administration",2017-01-04,,2017-02-21,FAA-2016-9522-0001,2,federalregister
2016-31382,Black Lung Benefits Act: Medical Benefit Payments,"Labor Department, Workers' Compensation Programs Office",2017-01-04,,2017-03-06,WCPO-2017-0001-0001,11,federalregister
2016-31415,Changes to Certain Alcohol-Related Regulations Governing Bond Requirements and Tax Return Filing Periods,"Treasury Department, Alcohol and Tobacco Tax and Trade Bureau",2017-01-04,,2017-03-06,TTB-2016-0013-0002,1,federalregister
2016-30713,Promulgation of Air Quality Implementation Plans; State of Texas; Regional Haze and Interstate Visibility Transport Federal Implementation Plan,Environmental Protection Agency,2017-01-04,,2017-03-06,EPA-R06-OAR-2016-0611-0001,11,federalregister
2016-31561,Revisions and Clarifications in Requirements for the Processing of Donated Foods,"Agriculture Department, Food and Nutrition Service",2017-01-05,,2017-03-06,FNS-2017-0001-0001,27,federalregister
2016-31865,Airworthiness Directives; Airbus Helicopters Deutschland GmbH Helicopters,"Transportation Department, Federal Aviation Administration",2017-01-05,,2017-03-06,FAA-2016-6928-0001,0,federalregister
2016-31367,Airworthiness Directives; The Boeing Company Airplanes,"Transportation Department, Federal Aviation Administration",2017-01-05,,2017-02-21,FAA-2016-9523-0001,3,federalregister
2016-31866,Airworthiness Directives; Airbus Helicopters,"Transportation Department, Federal Aviation Administration",2017-01-05,,2017-03-06,FAA-2016-6693-0001,1,federalregister
2016-31622,Airworthiness Directives; Sikorsky Aircraft Corporation Helicopters (Type Certificate Previously Held by Schweizer Aircraft Corporation),"Transportation Department, Federal Aviation Administration",2017-01-05,,2017-03-06,FAA-2016-6968-0001,0,federalregister
2016-31365,"Airworthiness Directives; Airbus Defense and Space S.A. (Formerly Known as Construcciones Aeronauticas, S.A.) Airplanes","Transportation Department, Federal Aviation Administration",2017-01-05,,2017-02-21,FAA-2016-9521-0001,0,federalregister
2016-31818,"Proposed Establishment, Modification and Revocation of Air Traffic Service (ATS) Routes; Western United States","Transportation Department, Federal Aviation Administration",2017-01-05,,2017-02-21,FAA-2016-9264-0001,0,federalregister
2016-31999,"Oil, Gas, and Sulfur Activities on the Outer Continental Shelf-Adjustments to Cost Recovery Fees","Interior Department, Safety and Environmental Enforcement Bureau",2017-01-05,,2017-02-16,BSEE-2016-0003-0009,0,federalregister
2016-32000,"Seaway Regulations and Rules: Periodic Update, Various Categories","Transportation Department, Great Lakes St. Lawrence Seaway Development Corporation",2017-01-05,,2017-02-06,SLSDC-2016-0006-0001,0,federalregister
2016-32001,Tariff of Tolls,"Transportation Department, Great Lakes St. Lawrence Seaway Development Corporation",2017-01-05,,2017-02-06,SLSDC-2016-0005-0001,0,federalregister
2016-31930,Notice of Request for a New Information Collection: State Meat and Poultry Inspection Programs,"Agriculture Department, Food Safety and Inspection Service",2017-01-05,,2017-03-06,FSIS-2016-0033-0001,2,federalregister
2016-31953,Agency Information Collection Activities: Proposed Collection; Comments Request-Evaluation of the School Meal Data Collection Process,"Agriculture Department, Food and Nutrition Service",2017-01-05,,2017-03-06,FNS-2017-0002-0001,3,federalregister
2016-31991,Proposed Data Collection Submitted for Public Comment and Recommendations,"Health and Human Services Department, Centers for Disease Control and Prevention",2017-01-05,,2017-03-06,,0,federalregister
2016-32004,Proposed Information Collection; Comment Request; West Coast Region Pacific Tuna Fisheries Logbook and Fish Aggregating Device Form,"Commerce Department, National Oceanic and Atmospheric Administration",2017-01-05,,2017-03-06,,0,federalregister
2016-32030,Agency Information Collection Activities; Proposed Collection; Comment Request; Prior Notice of Imported Food Under the Public Health Security and Bioterrorism Preparedness and Response Act of 2002,"Health and Human Services Department, Food and Drug Administration",2017-01-05,,2017-03-06,FDA-2010-N-0118-0006,0,federalregister
2016-31723,Agency Information Collection Activities: Submission to OMB for Review and Approval; Public Comment Request; The National Health Service Corps Loan Repayment Program,"Health and Human Services Department, Health Resources and Services Administration",2017-01-05,,2017-02-06,,0,federalregister
2016-31931,"Tennessee Valley Authority; Watts Bar Nuclear Plant, Unit 2",Nuclear Regulatory Commission,2017-01-05,,2017-02-06,NRC-2016-0272-0001,0,federalregister
2016-31780,Airworthiness Directives; CFE Company Turbofan Engines,"Transportation Department, Federal Aviation Administration",2017-01-05,,2017-02-21,FAA-2016-9380-0002,0,federalregister
2016-31619,Airworthiness Directives; The Boeing Company Airplanes,"Transportation Department, Federal Aviation Administration",2017-01-05,,2017-02-21,FAA-2016-9566-0001,4,federalregister
2016-31870,Airworthiness Directives; Pratt & Whitney Division Turbofan Engines,"Transportation Department, Federal Aviation Administration",2017-01-05,,2017-02-21,FAA-2016-9405-0001,7,federalregister
2016-31911,"Proposed Establishment and Modification of Area Navigation Routes, Atlantic Coast Route Project; Northeastern United States.","Transportation Department, Federal Aviation Administration",2017-01-05,,2017-02-21,FAA-2016-9556-0001,0,federalregister
2016-31949,Ecclesiastical Endorsing Organizations,Veterans Affairs Department,2017-01-05,,2017-03-06,VA-2017-VHA-0003-0001,2,federalregister
2016-31856,Revisions to the Requirements for Authority To Manufacture and Distribute Postage Evidencing Systems; Customized Postage Products,Postal Service,2017-01-05,,2017-02-06,USPS-2017-0007-0001,0,federalregister
2016-31754,Air Plan Approval; Georgia: Procedures for Testing and Monitoring Sources of Air Pollutants,Environmental Protection Agency,2017-01-05,,2017-02-06,EPA-R04-OAR-2016-0468-0001,8,federalregister
2016-31581,Endangered and Threatened Wildlife and Plants; Removing Trichostema austromontanum ssp. compactum (Hidden Lake Bluecurls) From the Federal List of Endangered and Threatened Plants,"Interior Department, Fish and Wildlife Service",2017-01-05,,2017-03-06,FWS-R8-ES-2016-0127-0001,4,federalregister
2016-31927,"Amendments to the Reef Fish, Spiny Lobster, and Corals and Reef Associated Plants and Invertebrates Fishery Management Plans of Puerto Rico and the U.S. Virgin Islands","Commerce Department, National Oceanic and Atmospheric Administration",2017-01-05,,2017-03-06,NOAA-NMFS-2016-0013-0001,2,federalregister
2016-32019,[Pediatric Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments,"Health and Human Services Department, Food and Drug Administration",2017-01-05,,2017-02-17,FDA-2016-N-0567-0005,0,federalregister
2016-31934,Proposed Collection; Comment Request,"Defense Department, Army Department",2017-01-05,,2017-03-06,USA-2016-HQ-0040-0001,0,federalregister
2016-31929,Proposed Collection; Comment Request,"Defense Department, Army Department",2017-01-05,,2017-03-06,USA-2016-HQ-0039-0001,1,federalregister
2016-31933,Agency Information Collection Activities; Comment Request; Migrant Education Program Regulations and Certificate of Eligibility,Education Department,2017-01-05,,2017-03-06,ED-2016-ICCD-0148-0001,19,federalregister
2016-31956,60-Day Notice of Intent To Seek Approval of an Existing Collection in Use Without an OMB Control Number: Dispute Resolution Procedures Under the Fixing America's Surface Transportation Act of 2015,Surface Transportation Board,2017-01-05,,2017-03-06,STB-2017-0002-0001,0,federalregister
