document_number,title,agency,publication_date,comment_url,comments_close_on,regs_document_id,comment_count,source
2018-28270,Certain Off-The-Road Tires From China; Institution of Five-Year Reviews,International Trade Commission,2019-01-02,,2019-03-08,ITC-2019-0005-0001,0,federalregister
2018-28272,Sodium Nitrite From China and Germany; Institution of Five-Year Reviews,International Trade Commission,2019-01-02,,2019-02-01,ITC-2019-0002-0001,0,federalregister
2018-28271,Raw Flexible Magnets From China and Taiwan; Institution of Five-Year Reviews,International Trade Commission,2019-01-02,,2019-02-01,ITC-2019-0003-0001,0,federalregister
2018-28365,Proposed Information Collection; Comment Request; Greater Atlantic Region Logbook Family of Forms,"Commerce Department, National Oceanic and Atmospheric Administration",2019-01-02,,2019-03-04,,0,federalregister
2018-28268,"Hot-Rolled Steel Products From China, India, Indonesia, Taiwan, Thailand, and Ukraine; Institution of Five-Year Reviews",International Trade Commission,2019-01-02,,2019-02-01,ITC-2019-0001-0001,0,federalregister
2018-28269,Non-Malleable Cast Iron Pipe Fittings From China; Institution of a Five-Year Review,International Trade Commission,2019-01-02,,2019-02-01,,0,federalregister
2018-28357,Job Corps Centers Proposed for Consolidation and Deactivation of Non-Operational Job Corps Centers: Comments Requested,"Labor Department, Employment and Training Administration",2019-01-02,,2019-02-01,ETA-2018-0006-0001,35,federalregister
2018-28358,Agency Information Collection Activities; Comment Request; Required Elements for Submission of the Unified or Combined State Plan and Plan Modifications Under the Workforce Innovation and Opportunity Act,"Labor Department, Employment and Training Administration",2019-01-02,,2019-03-04,,0,federalregister
2018-27915,Biweekly Notice; Applications and Amendments to Facility Operating Licenses and Combined Licenses Involving No Significant Hazards Considerations,Nuclear Regulatory Commission,2019-01-02,,2019-02-01,,0,federalregister
2018-27393,Applications and Amendments to Facility Operating Licenses and Combined Licenses Involving Proposed No Significant Hazards Considerations and Containing Sensitive Unclassified Non-Safeguards Information and Order Imposing Procedures for Access to Sensitive Unclassified Non-Safeguards Information,Nuclear Regulatory Commission,2019-01-08,,2019-02-07,,0,federalregister
2019-00094,Agency Information Collection Activities: Proposed Collection; Comment Request,"Health and Human Services Department, Centers for Medicare & Medicaid Services",2019-01-24,,2019-03-25,CMS-2019-0012-0001,2,federalregister
2019-00106,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Private School Universe Survey (PSS) 2019-20 and 2021-22,Education Department,2019-01-24,,2019-02-25,ED-2018-ICCD-0119-0005,7,federalregister
2019-00090,"Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to U.S. Air Force Launches and Operations at Vandenberg Air Force Base, California","Commerce Department, National Oceanic and Atmospheric Administration",2019-01-24,,2019-02-22,NOAA-NMFS-2019-0004-0001,6,federalregister
2019-00077,Patient Protection and Affordable Care Act; HHS Notice of Benefit and Payment Parameters for 2020,Health and Human Services Department,2019-01-24,,2019-02-19,CMS-2019-0006-0016,26213,federalregister
2019-00256,Nondiscrimination on the Basis of Sex in Education Programs or Activities Receiving Federal Financial Assistance,Education Department,2019-01-28,,2019-01-30,ED-2018-OCR-0064-7922,0,federalregister
2019-00264,Freedom of Information Act Regulations,Interior Department,2019-01-28,,2019-01-29,DOI-2018-0017-9391,0,federalregister
2019-00276,Proposed Data Collection Submitted for Public Comment and Recommendations,"Health and Human Services Department, Centers for Disease Control and Prevention",2019-01-29,,2019-04-01,,0,federalregister
2019-00257,Energy Conservation Program: Energy Conservation Standards for Residential Furnaces and Commercial Water Heaters,Energy Department,2019-01-29,,2019-03-01,EERE-2018-BT-STD-0018-0012,0,federalregister
2019-00255,Agency Information Collection Activities; Comment Request; Evaluation of Preschool Special Education Practices Efficacy Study,Education Department,2019-01-29,,2019-04-01,ED-2019-ICCD-0005-0001,7,federalregister
2019-00218,"Notice To Announce of Requirements and Registration for “Antimicrobial Resistance Rapid, Point-of-Need Diagnostic Test” Challenge","Health and Human Services Department, National Institutes of Health",2019-01-29,,2020-01-03,,0,federalregister
2019-00266,Loan Guaranty: Specially Adapted Housing Assistive Technology Grant Program,Veterans Affairs Department,2019-01-30,,2019-03-03,VA-2019-VACO-0002-0002,0,federalregister
2019-00259,Notice of Five AHRQ Subcommittee Meetings,"Health and Human Services Department, Agency for Healthcare Research and Quality",2019-01-30,,,AHRQ-2022-0004-0712,0,federalregister
2019-00315,Biweekly Notice; Applications and Amendments to Facility Operating Licenses and Combined Licenses Involving No Significant Hazards Considerations,Nuclear Regulatory Commission,2019-01-30,,2019-03-01,NRC-2019-0028-0001,0,federalregister
2019-00418,Agency Information Collection Activities: Revision of an Approved Information Collection; Submission for OMB Review; Company-Run Annual Stress Test Reporting Template and Documentation for Covered Institutions Under the Dodd-Frank Wall Street Reform and Consumer Protection Act,"Treasury Department, Comptroller of the Currency",2019-01-31,,2019-03-04,,0,federalregister
2019-00436,Endangered and Threatened Wildlife and Plants; 26 Draft Recovery Plan Amendments for 42 Species Across the United States,"Interior Department, Fish and Wildlife Service",2019-01-31,,2019-04-01,,0,federalregister
2019-00438,"Proposed Collection, Comment Request","Labor Department, Labor Statistics Bureau",2019-01-31,,2019-04-01,,0,federalregister
2019-00374,"Digital Instrumentation and Controls-Interim Staff Guidance-06, Revision 2, “Licensing Process”",Nuclear Regulatory Commission,2019-01-31,,,NRC-2018-0056-0005,0,federalregister
2019-00229,Partnership Opportunity To Identify Products for Fentanyl Exposure in Personal Protective Equipment Information Database; Reopening of the Comment Period,"Health and Human Services Department, Centers for Disease Control and Prevention",2019-01-31,,2019-04-01,CDC-2018-0085-0007,15,federalregister
2019-00553,Irish Potatoes Grown in Colorado; Handling Regulation for Area No. 2,"Agriculture Department, Agricultural Marketing Service",2019-01-31,,2019-04-01,AMS-SC-18-0067-0001,2,federalregister
2019-00434,Information Collection Requirement; Defense Federal Acquisition Regulation Supplement; Contract Financing; Submission for OMB Review; Comment Request,"Defense Department, Defense Acquisition Regulations System",2019-01-31,,2019-03-04,DARS-2018-0047-0002,0,federalregister
2019-00432,Proposed Collection; Comment Request,Defense Department,2019-01-31,,2019-04-01,DOD-2019-OS-0005-0001,1,federalregister
2019-00452,Commission Information Collection Activities (FERC-725); Comment Request; Extension,"Energy Department, Federal Energy Regulatory Commission",2019-01-31,,2019-03-04,FERC-2019-0021-0001,0,federalregister
2019-00404,Agency Information Collection Activities: Comment Request,Export-Import Bank,2019-01-31,,2019-03-04,EIB_FRDOC_0001-0486,0,federalregister
2019-00571,Request for Medicare Payment Advisory Commission (MedPAC) Nominations,Government Accountability Office,2019-01-31,,2019-03-08,GAO-2019-0002-0001,0,federalregister
2019-00572,Request for Medicaid and CHIP Payment and Access Commission (MACPAC) Nominations,Government Accountability Office,2019-01-31,,2019-02-20,GAO-2019-0001-0001,0,federalregister
2019-00503,Agency Information Collection Activities; Comment Request; 2019-20 National Teacher and Principal Survey (NTPS 2019-20),Education Department,2019-01-31,,2019-04-01,,0,federalregister
2019-00406,Decertification of Representatives,National Mediation Board,2019-01-31,,2019-04-01,NMB-2019-0001-0001,0,federalregister
2019-00562,"Safety Zone: Cape Fear River, Wilmington, NC","Homeland Security Department, Coast Guard",2019-01-31,,2019-03-04,USCG-2018-1067-0001,0,federalregister
2019-00424,Subsistence Management Regulations for Public Lands in Alaska-2020-21 and 2021-22 Subsistence Taking of Wildlife Regulations,"Agriculture Department, Forest Service, Interior Department, Fish and Wildlife Service",2019-01-31,,2019-03-27,FWS-R7-SM-2018-0015-0001,51,federalregister
2019-00606,"Television Broadcast Services; Cookeville and Franklin, Tennessee",Federal Communications Commission,2019-01-31,,2019-02-15,FCC-2019-0002-0001,0,federalregister
2018-28408,Endangered and Threatened Wildlife and Plants; Threatened Species Status for the West Coast Distinct Population Segment of Fisher,"Interior Department, Fish and Wildlife Service",2019-01-31,,2014-10-07,FWS-R8-ES-2018-0105-0001,69,federalregister
2019-00487,Request for Information Regarding Consumer Credit Card Market,Consumer Financial Protection Bureau,2019-01-31,,2019-05-01,CFPB-2019-0002-0001,10,federalregister
2019-00440,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Employers of National Service Enrollment Form and Employers of National Service Annual Survey; Proposed Information Collection; Comment Request,Corporation for National and Community Service,2019-01-31,http://www.regulations.gov/commenton/CNCS-2018-0016-0004,2019-03-04,,0,federalregister
2019-00559,Agency Information Collection Activities: Submission for OMB Review; Comment Request,Federal Deposit Insurance Corporation,2019-01-31,,2019-03-04,FDIC-2019-0003-0001,0,federalregister
2019-00367,Proposed Agency Information Collection Activities; Comment Request,Federal Reserve System,2019-01-31,,2019-04-01,FRS-2019-0006-0001,0,federalregister
2019-00448,"Agency Information Collection Activities; Proposed Collection; Comment Request; Reporting Harmful and Potentially Harmful Constituents in Tobacco Products and Tobacco Smoke Under the Federal Food, Drug, and Cosmetic Act","Health and Human Services Department, Food and Drug Administration",2019-01-31,,2019-04-01,FDA-2012-D-0049-0036,1,federalregister
2019-00402,"Agency Information Collection Activities: Submission to OMB for Review and Approval; Public Comment Request; Bureau of Health Workforce Performance Data Collection, OMB No. 0915-0061-Revision","Health and Human Services Department, Health Resources and Services Administration",2019-01-31,,2019-03-04,,0,federalregister
2019-00394,"Agency Information Collection Activities: Submission to OMB for Review and Approval; Public Comment Request; National Health Service Corps Scholar/Students to Service Travel Worksheet, OMB No. 0915-0278-Extension","Health and Human Services Department, Health Resources and Services Administration",2019-01-31,,2019-03-04,,0,federalregister
2019-00376,Agency Information Collection Activities; Comment Request; Health Education Assistance Loan (HEAL),Education Department,2019-01-31,,2019-04-01,ED-2019-ICCD-0002-0001,0,federalregister
2019-00453,Commission Information Collection Activities (FERC-732); Comment Request; Extension,"Energy Department, Federal Energy Regulatory Commission",2019-01-31,,2019-03-04,FERC-2019-0043-0001,0,federalregister
2019-00454,Commission Information Collection Activities (FERC-914); Comment Request; Extension,"Energy Department, Federal Energy Regulatory Commission",2019-01-31,,2019-04-01,FERC-2019-0023-0001,0,federalregister
2019-00535,Commission Information Collection Activities (FERC-912); Comment Request; Extension,"Energy Department, Federal Energy Regulatory Commission",2019-01-31,,2019-04-01,FERC-2019-0038-0001,0,federalregister
2019-00371,Pilgrim Nuclear Power Station; Consideration of Approval of Transfer of License and Conforming Amendment,Nuclear Regulatory Commission,2019-01-31,,2019-03-04,NRC-2018-0279-0001,37,federalregister
2019-00567,"Notice of Opportunity for Public Comment on AIP Acquired Land for Change of Use From Aeronautical to Non-Aeronautical Use and Lease at Bainbridge-Decatur County Industrial Airport, Bainbridge, Georgia","Transportation Department, Federal Aviation Administration",2019-01-31,https://www.regulations.gov/commenton/FAA-2013-0259-2555,2019-03-04,FAA-2013-0259-2555,0,federalregister
2019-00429,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Multiple IRS Information Collection Requests,Treasury Department,2019-01-31,,2019-03-04,,0,federalregister
2019-00446,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Multiple Fiscal Service Information Collection Requests,Treasury Department,2019-01-31,,2019-03-04,,0,federalregister
2019-00442,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Performance Partnership Pilots for Disconnected Youth Program National Evaluation,Labor Department,2019-01-31,,2019-03-04,DOL_FRDOC_0001-1291,0,federalregister
2019-00441,Agency Information Collection Activities; Submission for OMB Review; Comment Request; H-2B Foreign Labor Certification Program,Labor Department,2019-01-31,,2019-03-04,DOL_FRDOC_0001-1292,3,federalregister
2019-00583,"Submission for OMB Review, Comment Request, Proposed Collection: IMLS Native American Library Basic Grant Program-Final Performance Report Form","National Foundation on the Arts and the Humanities, Institute of Museum and Library Services",2019-01-31,,2019-02-28,ARTS-2019-0001-0001,0,federalregister
2019-00380,"Information Collection: Cooperation With States at Commercial Nuclear Power Plants and Other Nuclear Production and Utilization Facilities, Policy Statement",Nuclear Regulatory Commission,2019-01-31,,2019-03-04,NRC-2018-0063-0006,0,federalregister
2019-00219,Revision of Fee Schedules; Fee Recovery for Fiscal Year 2019,Nuclear Regulatory Commission,2019-01-31,,2019-03-04,NRC-2017-0032-0001,14,federalregister
2018-28038,Thresholds Increase for the Major Assets Prohibition of the Depository Institution Management Interlocks Act Rules,"Treasury Department, Comptroller of the Currency, Federal Reserve System, Federal Deposit Insurance Corporation",2019-01-31,,2019-04-01,FDIC-2019-0001-0001,0,federalregister
2018-27759,Arbitration Services,Federal Mediation and Conciliation Service,2019-01-31,,2019-01-19,FMCS-2019-0001-0001,0,federalregister
2019-00563,"Safety Zone; Tanapag Harbor, Saipan, CNMI","Homeland Security Department, Coast Guard",2019-01-31,,2019-03-04,USCG-2019-0020-0001,0,federalregister
2019-00277,Urgent Care,Veterans Affairs Department,2019-01-31,,2019-03-04,VA-2019-VHA-0003-0001,3304,federalregister
2019-00365,Proposed Agency Information Collection Activities; Comment Request,Federal Reserve System,2019-01-31,,2019-04-01,FRS-2019-0007-0001,0,federalregister
2019-00458,"Marketing Status Notifications Under Section 506I of the Federal Food, Drug, and Cosmetic Act; Content and Format; Draft Guidance for Industry; Availability","Health and Human Services Department, Food and Drug Administration",2019-01-31,,2019-04-01,FDA-2018-D-4615-0001,3,federalregister
2019-00393,"Agency Information Collection Activities: Proposed Collection: Public Comment Request; Information Collection Request Title: Healthy Start Evaluation and Quality Improvement, OMB No. 0915-0338-Revision","Health and Human Services Department, Health Resources and Services Administration",2019-01-31,,2019-04-01,,0,federalregister
2019-00392,"Agency Information Collection Activities: Submission to OMB for Review and Approval; Public Comment Request; Title: Health Resources and Service Administration Uniform Data System, OMB No. 0915-0193-Revision","Health and Human Services Department, Health Resources and Services Administration",2019-01-31,,2019-03-04,,0,federalregister
2019-00377,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Student Assistance General Provisions-Non-Title IV Revenue Requirements (90/10),Education Department,2019-01-31,,2019-03-04,ED-2018-ICCD-0111-0004,0,federalregister
2019-00370,Agency Information Collection Activities; Comment Request; Cancer Treatment Deferment,Education Department,2019-01-31,,2019-04-01,ED-2019-ICCD-0006-0001,3,federalregister
2019-00485,Agency Information Collection Activities; Comment Request; Mathematics and Science Partnerships Program: Annual Performance Report,Education Department,2019-01-31,,2019-04-01,ED-2019-ICCD-0008-0001,1,federalregister
2019-00378,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Student Assistance General Provisions-Readmission for Servicemembers,Education Department,2019-01-31,,2019-03-04,ED-2018-ICCD-0115-0004,0,federalregister
2019-00595,Sunshine Act Meetings,Nuclear Regulatory Commission,2019-01-31,,,NRC-2019-0001-0005,0,federalregister
2019-00383,Information Collection: Export and Import of Nuclear Equipment and Material,Nuclear Regulatory Commission,2019-01-31,,2019-04-01,NRC-2018-0229-0001,0,federalregister
2019-00358,Biweekly Notice; Applications and Amendments to Facility Operating Licenses and Combined Licenses Involving No Significant Hazards Considerations,Nuclear Regulatory Commission,2019-01-31,,2019-03-04,NRC-2018-0287-0002,0,federalregister
2019-00382,Information Collection: Disposal of High-Level Radioactive Wastes in Geologic Repositories,Nuclear Regulatory Commission,2019-01-31,,2019-04-01,NRC-2018-0240-0002,0,federalregister
2019-00597,Sunshine Act Meetings,Nuclear Regulatory Commission,2019-01-31,,,NRC-2018-0001-0057,0,federalregister
2019-00385,"Information Collection: NRC Form 244, “Registration Certificate-Use of Depleted Uranium Under General License”",Nuclear Regulatory Commission,2019-01-31,,2019-03-04,NRC-2018-0036-0002,1,federalregister
2019-00395,Postal Service Performance Report and Performance Plan,Postal Regulatory Commission,2019-01-31,,2019-02-22,,0,federalregister
2019-00397,Income Tax Review,Postal Regulatory Commission,2019-01-31,,2019-03-01,,0,federalregister
2019-00396,FY 2018 Annual Compliance Report,Postal Regulatory Commission,2019-01-31,,2019-01-31,,0,federalregister
2019-00570,"Environmental Impact Statements; Availability, etc.: Proposed Interim Fly Quiet (Draft Re-Evaluation)","Transportation Department, Federal Aviation Administration",2019-01-31,,,FAA-2013-0259-2557,0,federalregister
2019-00566,"Noise Exposure Map Notice; Hartsfield-Jackson International Airport, Atlanta, GA","Transportation Department, Federal Aviation Administration",2019-01-31,,,FAA-2013-0259-2556,0,federalregister
2019-00548,Notice of Request for Extension of a Currently Approved Information Collection for Commodities Covered by the Livestock Mandatory Reporting Act of 1999,"Agriculture Department, Agricultural Marketing Service",2019-01-31,,2019-04-01,AMS-LP-18-0068-0001,2,federalregister
2019-00554,Administrative Simplification: Modification of the Requirements for the Use of Health Insurance Portability and Accountability Act of 1996 (HIPAA) National Council for Prescription Drug Programs (NCPDP) D.0 Standard,Health and Human Services Department,2019-01-31,,2019-04-01,CMS-2019-0020-0001,15,federalregister
2019-00431,Proposed Collection; Comment Request,"Defense Department, Army Department",2019-01-31,,2019-04-01,USA-2019-HQ-0002-0001,0,federalregister
2019-00433,Agency Information Collection Activities: Proposed Collection; Comment Request,"Health and Human Services Department, Centers for Medicare & Medicaid Services",2019-01-31,,2019-04-01,CMS-2019-0021-0001,0,federalregister
2019-00411,Agency Information Collection Activities: Submission for OMB Review; Comment Request,"Health and Human Services Department, Centers for Medicare & Medicaid Services",2019-01-31,,2019-03-04,CMS-2018-0146-0002,0,federalregister
2018-27972,Further Streamlining FCC Rules Governing Satellite Services,Federal Communications Commission,2019-01-31,,2019-03-18,FCC-2019-0001-0001,0,federalregister
2019-00435,Ground Water Protection at Uranium In Situ Recovery Facilities,Nuclear Regulatory Commission,2019-01-31,,2019-03-04,NRC-2008-0421-0001,9,federalregister
